"language"	"definition"	"uralex_mng"	"mng_item"	"lgid3"	"item"	"item_UPA"	"item_IPA"	"form_set"	"cogn_set"	"borr_source"	"borr_qual"	"etym_notes"	"ref_borr"	"glossing_notes"	"general_notes"	"ref_abbr"
"Standard Estonian"	"A generic quantifier for 'many', i.e. a large number of. Antonym of 'few'."	"many"	152	210	"mitu"		"mitːu"	4	"d"							"SVSk"
"Standard Estonian"	"A generic quantifier for 'many', i.e. a large number of. Antonym of 'few'."	"many"	152	210	"paljud"		"pɑljut"	5	"e"	"Slavic"	"possible"		"Saarikivi2009"			"SVSk"
"Võro South Estonian"	"A generic quantifier for 'many', i.e. a large number of. Antonym of 'few'."	"many"	152	211	"pall'o"			5	"e"							"SI"
"Courland Livonian"	"A generic quantifier for 'many', i.e. a large number of. Antonym of 'few'."	"many"	152	212	"mūnda"			1	"a"	"Indo-European"	"possible"		"SSA, NES, EES, UEW"			"LivWb"
"Erzya"	"A generic quantifier for 'many', i.e. a large number of. Antonym of 'few'."	"many"	152	301	"lamo"	"lamo"	"lɑmo "	9	"i"							"MordWb"
"Meadow Mari"	"A generic quantifier for 'many', i.e. a large number of. Antonym of 'few'."	"many"	152	401	"jatə̑r"	"jatə̑r"	"jɑtə̠r"	12	"l"	"Volga Bulgar Turkic"	"clear"		"TscherWb"			"SMSk, TscherWb"
"Meadow Mari"	"A generic quantifier for 'many', i.e. a large number of. Antonym of 'few'."	"many"	152	401	"šuko"	"šuko"	"ʃuko "	10	"j"							"SMSk, TscherWb"
"Komi-Zyrian"	"A generic quantifier for 'many', i.e. a large number of. Antonym of 'few'."	"many"	152	501	"una"	"una"	"unɑ "	11	"k"							"SyrjWsch"
"Komi-Permyak"	"A generic quantifier for 'many', i.e. a large number of. Antonym of 'few'."	"many"	152	503	"una"	"una"	"unɑ "	11	"k"							"KoPRSl"
"Udmurt"	"A generic quantifier for 'many', i.e. a large number of. Antonym of 'few'."	"many"	152	504	"tros"	"tros"	"tros "	14	"n"							"WotjWsch"
"Hungarian"	"A generic quantifier for 'many', i.e. a large number of. Antonym of 'few'."	"many"	152	601	"sok"		"ʃok"	13	"m"							"FMSz"
"Sosva Mansi"	"A generic quantifier for 'many', i.e. a large number of. Antonym of 'few'."	"many"	152	701	"sāw"	"sāw"	"sɑːw "	13	"m"							"WogWb"
"Vakh-Vasyugan Khanty"	"A generic quantifier for 'many', i.e. a large number of. Antonym of 'few'."	"many"	152	807	"är, ärki"	"är, ärki"	"ær, ærki "	15	"o"							"DEWbOstj"
"Nganasan"	"A generic quantifier for 'many', i.e. a large number of. Antonym of 'few'."	"many"	152	901	"ŋuŋkəgə"	"ŋuŋkəgə"	"ŋuŋkəgə "	16	"p"							"SlNgaRus"
"Tundra Nenets"	"A generic quantifier for 'many', i.e. a large number of. Antonym of 'few'."	"many"	152	902	"ŋoka"			16	"p"							"JurSWb"
"Selkup"	"A generic quantifier for 'many', i.e. a large number of. Antonym of 'few'."	"many"	152	907	"koććə"	"koććə"	"koʨːə"	17	"q"							"SolkWb"
"Proto-Uralic*"	"A generic noun for the moon."	"moon"	153	0	"*kuŋi̮"			1	"a"							"UEW, Sam88"
"South Saami"	"A generic noun for the moon."	"moon"	153	101	"aske"			7	"g"							"NSsNdb"
"Ume Saami"	"A generic noun for the moon."	"moon"	153	102	"mànnoo"			2	"b"	"North Germanic"	"clear"		"Lehtiranta1989"	"Only 'month'?"		"WbWlap"
"Pite Saami"	"A generic noun for the moon."	"moon"	153	104	"mánno"			2	"b"	"North Germanic"	"clear"		"Lehtiranta1989"			"EZ"
"North Saami"	"A generic noun for the moon."	"moon"	153	105	"mánnu"			2	"b"	"North Germanic"	"clear"		"Lehtiranta1989"			"SSSg"
"Inari Saami"	"A generic noun for the moon."	"moon"	153	106	"máno, máánu"			2	"b"	"North Germanic"	"clear"		"Lehtiranta1989"			"InsSSk"
"Skolt Saami"	"A generic noun for the moon."	"moon"	153	107	"mään"			2	"b"	"North Germanic"	"clear"		"Lehtiranta1989"			"SKosSk"
"Kildin Saami"	"A generic noun for the moon."	"moon"	153	108	"mānn"		"maːnː"	2	"b"	"North Germanic"	"clear"		"Rießler2009"			"WOLD"
"Standard Finnish"	"A generic noun for the moon."	"moon"	153	203	"kuu"		"kuː"	1	"a"							"JL"
"Karelian Proper"	"A generic noun for the moon."	"moon"	153	204	"kuu, kuutama"			1	"a"						"Latter deriv."	"KKSV"
"Veps"	"A generic noun for the moon."	"moon"	153	207	"ku"			1	"a"							"VVS"
"Ingrian"	"A generic noun for the moon."	"moon"	153	208	"kū"	"kū"	"kuː"	1	"a"							"InkmSk"
"Western Votic"	"A generic noun for the moon."	"moon"	153	209	"kū"	"kū"	"kuː"	1	"a"							"VKJMS"
"Standard Estonian"	"A generic noun for the moon."	"moon"	153	210	"kuu"		"kuː"	1	"a"							"SVSk"
"Võro South Estonian"	"A generic noun for the moon."	"moon"	153	211	"kuu"			1	"a"							"VESr"
"Courland Livonian"	"A generic noun for the moon."	"moon"	153	212	"kū"			1	"a"							"LivWb"
"Erzya"	"A generic noun for the moon."	"moon"	153	301	"kov"	"kov"	"kov "	1	"a"							"MordWb"
"Meadow Mari"	"A generic noun for the moon."	"moon"	153	401	"tə̑lze"	"tə̑lze"	"tə̠lze"	3	"c"							"SMSk, TscherWb"
"Komi-Zyrian"	"A generic noun for the moon."	"moon"	153	501	"te̮li̮ś"	"te̮li̮ś"	"tɤlɯɕ"	3	"c"							"SyrjWsch"
"Komi-Permyak"	"A generic noun for the moon."	"moon"	153	503	"te̮liś"	"te̮liś"	"tɤliɕ"	3	"c"							"KoPRSl"
"Udmurt"	"A generic noun for the moon."	"moon"	153	504	"toleź"	"toleź"	"toleʑ"	3	"c"							"WotjWsch"
"Hungarian"	"A generic noun for the moon."	"moon"	153	601	"hold"		"hold"	1	"a"							"FMSz"
"Sosva Mansi"	"A generic noun for the moon."	"moon"	153	701	"ētpos"	"ētpos"	"eːtpos"	4	"d"					"Comp; ""ēt"" 'night', ""pos"" 'light'"		"WogWb"
"Vakh-Vasyugan Khanty"	"A generic noun for the moon."	"moon"	153	807	"iki"	"iki"	"iki "	5	"e"							"DEWbOstj"
"Nganasan"	"A generic noun for the moon."	"moon"	153	901	"kičəðə̄"	"kičəδə̄"	"kiʧəðəː"	1	"a"						"Deriv. from PU *kuŋi"	"SlNgaRus"
"Tundra Nenets"	"A generic noun for the moon."	"moon"	153	902	"yiryiy° ~ yiri°"			6	"f"							"JurSWb"
"Selkup"	"A generic noun for the moon."	"moon"	153	907	"irä"	"irä"	"iræ "	6	"f"							"SolkWb"
"Proto-Uralic*"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	0	"*emä"			2	"b"							"UEW, Sam88"
"South Saami"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	101	"ietnie"			4	"d"							"NSsNdb"
"South Saami"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	101	"tjidtjie"			5	"e"							"NSsNdb"
"Ume Saami"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	102	"eädˈnee"			4	"d"							"WbWlap"
"Ume Saami"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	102	"tjidtjee"			5	"e"							"WbWlap"
"Pite Saami"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	104	"äddne"			4	"d"							"EZ"
"Pite Saami"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	104	"tjidtje"			5	"e"							"EZ"
"North Saami"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	105	"eadni"			4	"d"							"SSSg"
"Inari Saami"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	106	"enni"			4	"d"							"InsSSk"
"Skolt Saami"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	107	"jeäʹnˈn ~ jieʹnˈn"			4	"d"							"SKosSk"
"Kildin Saami"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	108	"jēnn’"		"jeːnːʲ"	4	"d"							"WOLD"
"Standard Finnish"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	203	"äiti"		"æit̪i"	1	"a"	"Germanic"	"clear"		"LÄGLOS, SSA, EES, NES"			"JL"
"Karelian Proper"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	204	"emä"			2	"b"							"KKSV"
"Veps"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	207	"mam"			3	"c"	"Russian"	"clear"		"SSA"			"VVS"
"Ingrian"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	208	"emä"	"emä"	"emæ "	2	"b"							"InkmSk"
"Ingrian"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	208	"māma"	"māma"	"mɑːmɑ "	3	"c"	"Russian"	"clear"		"SSA"			"InkmSk"
"Western Votic"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	209	"emä"	"emä"	"emæ "	2	"b"							"VKJMS"
"Western Votic"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	209	"mām"	"mām"	"mɑːm "	3	"c"	"Russian"	"clear"		"SSA"			"VKJMS"
"Standard Estonian"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	210	"ema"		"emɑ"	2	"b"							"SVSk"
"Võro South Estonian"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	211	"imä"			2	"b"							"VESr"
"Courland Livonian"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	212	"jemà"			2	"b"							"LivWb"
"Erzya"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	301	"ava"	"ava"	"ɑvɑ "	6	"f"	"Volga Bulgar Turkic"	"clear"		"Butylov2007, Paasonen1897"			"MordWb"
"Meadow Mari"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	401	"aβa"	"aβa"	"ɑβɑ "	6	"n"	"Chuvash"	"clear"		"TscherWb"			"SMSk, TscherWb"
"Komi-Zyrian"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	501	"mam"	"mam"	"mɑm "	3	"l"	"Russian"	"clear"		"SyrjWsch"			"SyrjWsch"
"Komi-Permyak"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	503	"mam"	"mam"	"mɑm "	3	"l"	"Russian"	"clear"		"MH"			"KoPRSl"
"Udmurt"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	504	"anai"	"anai"	"ɑnɑi "	7	"g"	"Tatar"	"clear"		"WotjWsch"			"WotjWsch"
"Udmurt"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	504	"mumi̮"	"mumi̮"	"mumɯ "	3	"m"	"Russian"	"clear"		"WotjWsch"			"WotjWsch"
"Hungarian"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	601	"anya"		"ɒɲɒ"	8	"h"			"Possibly from PU *ańa 'wife of some older relative'"				"FMSz"
"Sosva Mansi"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	701	"āŋkw"	"āŋk˳"	"ɑːŋkʷ "	10	"j"			"Probably not connected to PU *ańa 'wife of some older relative'"				"WogWb"
"Sosva Mansi"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	701	"śiś"	"śiś"	"ɕiɕ "	9	"i"							"WogWb"
"Vakh-Vasyugan Khanty"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	807	"ǝŋki"	"əŋki"	"əŋki "	10	"j"			"Probably not connected to PU *ańa 'wife of some older relative'"				"DEWbOstj"
"Vakh-Vasyugan Khanty"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	807	"əs"	"əs"	"əs"	11	"k"							"DEWbOstj"
"Nganasan"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	901	"ńemi̮"	"ńemi̮"	"ɲemɯ "	2	"b"					"'Mother, female'"		"SlNgaRus"
"Tundra Nenets"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	902	"nyebya"			2	"b"							"JurSWb"
"Selkup"	"A generic noun for 'mother', i.e. a woman in relation to her child or children."	"mother"	154	907	"e̮mə"	"e̮mə"	"ɤmə "	2	"b"							"SolkWb"
"Proto-Uralic*"	"A generic noun for a mountain."	"mountain"	155	0	"*wärä"			1	"a"						"Representation in Sd uncertain"	"UEW, Sam88"
"South Saami"	"A generic noun for a mountain."	"mountain"	155	101	"bïerje"			16	"p"	"Swedish"	"clear"		"MH"			"NSsNdb"
"South Saami"	"A generic noun for a mountain."	"mountain"	155	101	"vaerie"			3	"c"							"NSsNdb"
"Ume Saami"	"A generic noun for a mountain."	"mountain"	155	102	"vàrree"			3	"c"							"WbWlap"
"Pite Saami"	"A generic noun for a mountain."	"mountain"	155	104	"várre"			3	"c"							"EZ"
"North Saami"	"A generic noun for a mountain."	"mountain"	155	105	"várri"			3	"c"							"SSSg"
"Inari Saami"	"A generic noun for a mountain."	"mountain"	155	106	"vääri"			3	"c"							"InsSSk"
"Skolt Saami"	"A generic noun for a mountain."	"mountain"	155	107	"vääʹrr"			3	"c"							"SKosSk"
"Kildin Saami"	"A generic noun for a mountain."	"mountain"	155	108	"pāhk’"		"paːhkʲ"	13	"m"	"North Germanic"	"probable"		"Rießler2009"			"WOLD"
"Standard Finnish"	"A generic noun for a mountain."	"mountain"	155	203	"vuori"		"ʋuo̞ri"	1	"a"							"JL"
"Karelian Proper"	"A generic noun for a mountain."	"mountain"	155	204	"vuori"			1	"a"							"KKSV"
"Veps"	"A generic noun for a mountain."	"mountain"	155	207	"mägi"			2	"b"							"VVS"
"Ingrian"	"A generic noun for a mountain."	"mountain"	155	208	"mäki"	"mäki"	"mæki"	2	"b"							"InkmSk"
"Western Votic"	"A generic noun for a mountain."	"mountain"	155	209	"mätši"	"mäči"	"mæʧi "	2	"b"							"VKJMS"
"Standard Estonian"	"A generic noun for a mountain."	"mountain"	155	210	"mägi"		"mæki"	2	"b"							"SVSk"
"Võro South Estonian"	"A generic noun for a mountain."	"mountain"	155	211	"mägi"			2	"b"							"VESr"
"Courland Livonian"	"A generic noun for a mountain."	"mountain"	155	212	"mäʾg"			2	"b"							"LivWb"
"Erzya"	"A generic noun for a mountain."	"mountain"	155	301	"pando"	"pando"	"pɑndo"	4	"d"							"MordWb"
"Meadow Mari"	"A generic noun for a mountain."	"mountain"	155	401	"kurə̑k"	"kurə̑k"	"kurə̠k"	5	"e"							"SMSk, TscherWb"
"Komi-Zyrian"	"A generic noun for a mountain."	"mountain"	155	501	"ćoj"	"ćoj"	"ʨoj "	6	"f"							"SyrjWsch"
"Komi-Permyak"	"A generic noun for a mountain."	"mountain"	155	503	"kere̮s"	"kere̮s"	"kerɤs"	7	"g"							"KoPRSl"
"Udmurt"	"A generic noun for a mountain."	"mountain"	155	504	"gureź"	"gureź"	"gureʑ"	7	"g"							"WotjWsch"
"Hungarian"	"A generic noun for a mountain."	"mountain"	155	601	"hegy"		"hɛɟ"	8	"h"			"Possibly has cognates in FS or alternatively in Sd"				"FMSz"
"Sosva Mansi"	"A generic noun for a mountain."	"mountain"	155	701	"ńōr"	"ńōr"	"ɲoːr "	10	"j"							"WogWb"
"Sosva Mansi"	"A generic noun for a mountain."	"mountain"	155	701	"ur"	"ur"	"ur"	9	"i"			"From PUg *arV 'edge, direction'"				"WogWb"
"Vakh-Vasyugan Khanty"	"A generic noun for a mountain."	"mountain"	155	807	"jŏɣ"	"jŏɣ"	"jŏɣ "	14	"n"							"DEWbOstj"
"Vakh-Vasyugan Khanty"	"A generic noun for a mountain."	"mountain"	155	807	"pelɜ ~ pelä"	"pelə, pelä"	"pelə, pelæ"	11	"k"							"DEWbOstj"
"Nganasan"	"A generic noun for a mountain."	"mountain"	155	901	"bəru"	"bəru"	"bəru "	17	"r"					"'Mountain, rock'"		"SlNgaRus"
"Tundra Nenets"	"A generic noun for a mountain."	"mountain"	155	902	"xoy°"			15	"o"					"'Mountain, ridge, highlands'"		"JurSWb"
"Selkup"	"A generic noun for a mountain."	"mountain"	155	907	"qē̮"	"qē̮"	"qɤː"	12	"l"			"Connection with Hu ""hegy"" suggested but unclear"				"SolkWb"
"Proto-Uralic*"	"A generic adjective for 'narrow'."	"narrow"	156	0	"[Not reconstructable]"			"?"	"?"							"UEW, Sam88"
"South Saami"	"A generic adjective for 'narrow'."	"narrow"	156	101	"giedtsies"			6	"f"							"NSsNdb"
"Ume Saami"	"A generic adjective for 'narrow'."	"narrow"	156	102	"gä̀dtsee"			6	"f"							"WbWlap"
"Ume Saami"	"A generic adjective for 'narrow'."	"narrow"	156	102	"gàrtjee"			5	"e"							"WbWlap"
"Pite Saami"	"A generic adjective for 'narrow'."	"narrow"	156	104	"gähttse"			6	"f"							"EZ"
"North Saami"	"A generic adjective for 'narrow'."	"narrow"	156	105	"baski"			19	"s"							"SSSg"
"North Saami"	"A generic adjective for 'narrow'."	"narrow"	156	105	"seaggi"			8	"h"							"SSSg"
"Inari Saami"	"A generic adjective for 'narrow'."	"narrow"	156	106	"kezzi"			6	"f"							"InsSSk"
"Skolt Saami"	"A generic adjective for 'narrow'."	"narrow"	156	107	"korččai"			7	"g"							"SKosSk"
"Skolt Saami"	"A generic adjective for 'narrow'."	"narrow"	156	107	"seäʹǧˈǧ"			8	"h"							"SKosSk"
"Kildin Saami"	"A generic adjective for 'narrow'."	"narrow"	156	108	"kien’ces’"		"kienʲcesʲ"	6	"f"							"WOLD"
"Standard Finnish"	"A generic adjective for 'narrow'."	"narrow"	156	203	"kapea"		"kɑpe̞ɑ"	1	"a"							"JL"
"Karelian Proper"	"A generic adjective for 'narrow'."	"narrow"	156	204	"kaita"			2	"b"	"Germanic"	"probable"		"SSA"			"KKSV"
"Veps"	"A generic adjective for 'narrow'."	"narrow"	156	207	"kaid"			2	"b"	"Germanic"	"probable"		"SSA"			"VVS"
"Ingrian"	"A generic adjective for 'narrow'."	"narrow"	156	208	"kaiᴅa"	"kaiᴅa"	"kɑid̥ɑ"	2	"b"	"Germanic"	"probable"		"SSA"			"InkmSk"
"Western Votic"	"A generic adjective for 'narrow'."	"narrow"	156	209	"ahaᴢ"	"ahaᴢ"	"ɑhɑz "	4	"d"							"VKJMS"
"Standard Estonian"	"A generic adjective for 'narrow'."	"narrow"	156	210	"kitsas"		"kitsɑs"	3	"c"	"Germanic_or_Baltic"	"possible"		"EES"			"SVSk"
"Võro South Estonian"	"A generic adjective for 'narrow'."	"narrow"	156	211	"ahtagõnõ, ahas"			4	"d"	"Baltic"	"probable"		"SSA, Junttila2015"			"VESr"
"Võro South Estonian"	"A generic adjective for 'narrow'."	"narrow"	156	211	"kitsas"			3	"c"	"Germanic_or_Baltic"	"possible"		"EES"			"VESr"
"Courland Livonian"	"A generic adjective for 'narrow'."	"narrow"	156	212	"ɔ̄ʾdəz"			4	"d"	"Baltic"	"probable"		"SSA, Junttila2015"			"LivWb"
"Erzya"	"A generic adjective for 'narrow'."	"narrow"	156	301	"tʹejińe"	"tʹejińe"	"tʲejiɲe"	9	"i"			"Possibly cognate with Nen ""tiya"", but too widely separated to disregard change correspondence"				"MordWb"
"Meadow Mari"	"A generic adjective for 'narrow'."	"narrow"	156	401	"aŋə̑sə̑r"	"aŋə̑sə̑r"	"ɑŋə̠sə̠r"	10	"j"	"Chuvash"	"clear"		"TscherWb"			"SMSk, TscherWb"
"Komi-Zyrian"	"A generic adjective for 'narrow'."	"narrow"	156	501	"otte̮m"	"otte̮m"	"otːɤm"	12	"l"							"SyrjWsch"
"Komi-Zyrian"	"A generic adjective for 'narrow'."	"narrow"	156	501	"vekńi"	"vekńi"	"vekɲi"	11	"k"			"Deriv. from PFU *wekkV 'thin'"				"SyrjWsch"
"Komi-Permyak"	"A generic adjective for 'narrow'."	"narrow"	156	503	"ʒ́eski̮t"	"ʒ́eski̮t"	"ʥeskɯt"	21	"u"							"KoPRSl"
"Udmurt"	"A generic adjective for 'narrow'."	"narrow"	156	504	"śubeg"	"śubeg"	"ɕubeg"	20	"t"							"WotjWsch"
"Hungarian"	"A generic adjective for 'narrow'."	"narrow"	156	601	"keskeny"		"kɛʃkɛɲ"	13	"m"							"FMSz"
"Hungarian"	"A generic adjective for 'narrow'."	"narrow"	156	601	"szűk"		"syːk"	14	"n"							"FMSz"
"Sosva Mansi"	"A generic adjective for 'narrow'."	"narrow"	156	701	"ośśa"	"ośśa"	"oɕːɑ "	15	"o"							"WogWb"
"Vakh-Vasyugan Khanty"	"A generic adjective for 'narrow'."	"narrow"	156	807	"wäńtʹ"	"wäńtʹ"	"wæɲtʲ "	16	"p"							"DEWbOstj"
"Nganasan"	"A generic adjective for 'narrow'."	"narrow"	156	901	"ńeu"	"ńeu"	"ɲeu "	22	"v"					"'Narrow, thin'"		"SlNgaRus"
"Nganasan"	"A generic adjective for 'narrow'."	"narrow"	156	901	"śiküə"	"śiküə"	"ɕikyə"	23	"w"							"SlNgaRus"
"Tundra Nenets"	"A generic adjective for 'narrow'."	"narrow"	156	902	"tiya"			17	"q"			"Possibly cognate with Mord ""tʹejińe"", but too widely separated to disregard change correspondence"				"JurSWb"
"Selkup"	"A generic adjective for 'narrow'."	"narrow"	156	907	"ćuə̑sə"	"ćuə̑sə"	"ʨuə̠sə "	18	"r"							"SolkWb"
"Proto-Uralic*"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	0	"[Not reconstructable]"			"?"	"?"							"UEW, Sam88"
"South Saami"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	101	"gïetskese"			15	"o"							"NSsNdb"
"Ume Saami"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	102	"lahka"			2	"b"							"WbWlap"
"Pite Saami"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	104	"lahka, lehkusin"			2	"b"							"EZ"
"North Saami"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	105	"lahka"			2	"b"							"SSSg"
"Inari Saami"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	106	"alda"			4	"d"							"InsSSk"
"Skolt Saami"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	107	"ââld(a) ~ âʹldd"			4	"d"							"SKosSk"
"Skolt Saami"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	107	"luʹnn"			3	"c"							"SKosSk"
"Kildin Saami"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	108	"all’t"		"alːʲt"	4	"d"							"WOLD"
"Standard Finnish"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	203	"lähellä"		"læɦe̞lːæ"	1	"a"							"JL"
"Karelian Proper"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	204	"lähellä"			1	"a"							"KKSV"
"Veps"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	207	"lähen"			1	"a"							"VVS"
"Ingrian"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	208	"liɢi"	"liɢi"	"lig̊i "	2	"b"							"InkmSk"
"Western Votic"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	209	"jūre̮ᴢ"	"jūre̮ᴢ"	"juːrɤz"	13	"m"							"VKJMS"
"Western Votic"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	209	"litši"	"liči"	"liʧi "	2	"b"							"VKJMS"
"Western Votic"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	209	"tüven̄"	"tüven̄"	"tyven"	14	"n"							"VKJMS"
"Standard Estonian"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	210	"lähedal"		"læhetɑl"	1	"a"							"SVSk"
"Standard Estonian"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	210	"ligi, ligidal"		"liki, likitɑl"	2	"b"							"SVSk"
"Võro South Estonian"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	211	"lähiksel"			1	"a"							"VESr"
"Courland Livonian"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	212	"leʾižgəl"			1	"a"							"LivWb"
"Erzya"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	301	"malaso"	"malaso"	"mɑlɑso"	5	"e"			"From PFV *mala 'edge, rim' ?"				"MordWb"
"Meadow Mari"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	401	"lišne, lišə̑l"	"lišne, lišə̑l"	"liʃne, liʃə̠l "	1	"a"						"Derivs.; latter attr."	"SMSk, TscherWb"
"Komi-Zyrian"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	501	"mati̮n"	"mati̮n"	"mɑtɯn"	6	"f"			"From PFP *mättV 'house, tent' ?"				"SyrjWsch"
"Komi-Permyak"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	503	"mati̮n"	"mati̮n"	"mɑtɯn"	6	"f"			"From PFP *mättV 'house, tent' ?"				"KoPRSl"
"Udmurt"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	504	"mati̮n"	"mati̮n"	"mɑtɯn"	6	"f"			"From PFP *mättV 'house, tent' ?"				"WotjWsch"
"Hungarian"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	601	"közel"		"køzɛl"	7	"g"							"FMSz"
"Sosva Mansi"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	701	"lʹapat"	"lʹapat"	"ʎɑpɑt"	9	"i"							"WogWb"
"Sosva Mansi"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	701	"wātʹi"	"wātʹi"	"wɑːtʲi "	8	"h"							"WogWb"
"Vakh-Vasyugan Khanty"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	807	"wäṇ, wäṇəki"	"wäṇ, wäṇəki"	"wæɳ, wæɳəki"	10	"j"						"Former as attribute, latter as freestanding word"	"DEWbOstj"
"Nganasan"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	901	"kadʹa"	"kadʹa"	"kɑdʲɑ "	16	"p"					"'Beside, close to, near'"		"SlNgaRus"
"Nganasan"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	901	"nogaˀlʹukü"	"nogaˀlʹukü"	"nogɑʔʎuky"	17	"q"							"SlNgaRus"
"Tundra Nenets"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	902	"xax°yə°"			11	"k"					"'Be near (v.)'"		"JurSWb"
"Selkup"	"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'."	"near"	157	907	"čačä"	"čačä"	"ʧɑʧæ "	12	"l"							"SolkWb"
"Proto-Uralic*"	"A pronoun for 'other', referring to a different entity than the one already mentioned."	"other"	158	0	"[Not reconstructable]"			"?"	"?"						"PFU: *mu-"	"UEW, Sam88"
"South Saami"	"A pronoun for 'other', referring to a different entity than the one already mentioned."	"other"	158	101	"jeatjebe"			3	"c"							"NSsNdb"
